petition_id,label_length,abstract_length,num_signatures
b00e8421b88b00273edfcbf2777ba60e6aca767a0c0e4d4ec94568b5cd4fd418,8,52,55152
e313a1a2fcd2a60aa8462dac145f352e70a0899ffd5b9bd3dfc623ffc475b168,16,48,54697
baf30741d50262c74e656e06a8ee715677e57cb0c88171935255ab234d7ada0e,12,25,54116
eb533c8031ade734785ac6544a0e8f0c1a899a5cb67698c67afca37dddf625c4,6,24,53706
b469918a2d9b9069b74414ae31d98694526a605575de483511739b51eb1a3c76,12,42,53525
bf48abc537cd307bd439b09945b994d99798f265bfb03f53b3de0ecac715d714,11,44,53432
d750f75ca0fd2d9196fcaa0c00c0fbc708a049008e6a5e14aba34f61b99103d2,5,30,52712
56f7b411161ac5e50b81e9a9e0ff9c2bc4e25e0e7c171491a86a6e24a62db208,8,23,52501
e3ee5add9ec24296ac72139784478b6bb5750587d2580241e1e1395794203132,13,45,52453
f6ced3489f45ffa44bec82498afc316e484e7c478307017d578ef236701977f7,9,53,52149
2621891d64df639c6a9aa9f2077a494b0193ac54dc66072e6b33a37a1192ed7f,8,47,51234
f9a4caf64cc76b607ec20baa867b284654eff54fc7b34cc039d19f2448d0d3f7,11,51,50697
e1655eb26b56d723416ffed1bba1327504ad464b056e97e517a94aacd3dd3b02,6,36,50414
dbd20581e8ccfd72212f0bb1fe65ead3c94981b43a1ae10a827cd78be4f44900,12,33,50399
77cf8d38d75a3c44005d397c8a3b80f5d31eaec635c99bffa37fe565f833f492,7,36,48775
758643254276f4f70ae6ca2bb9dbf2ebac76db2e36ccac36584db15d1088b77d,9,43,47972
e2b7130aac874d89695fe80a22bb2225ab21d582cad54ebd75c19a1c8a109405,12,49,46663
5458b975cb789044b4d25ce00768fbc3e32c27bf50ce9fa4110a174ea4ae8e3c,12,30,46596
83e615dafb1018e2ca5f9b418f72f8fb6f6388fbae43496b2c004e35ce447334,13,47,46161
0eac42d9dd578541a33ad29f8ac503c670f921ce8c0ac027e1a1f6b6ef7d0062,14,51,45994
3ba56efa27bf0ce68ab4e294d91334a64745e7ba4ffecf61ba12e4cbb866b036,13,53,45800
a9bc8e061c9b81108b5da623f81acbbb980ec3073a53bb824abe9c4f1741d8a3,12,53,45624
1d50b10685f895cdf5fa4d16eeba5faee540199daf837ac60e0c5ea3a3439f20,17,52,45413
9f460372fc4f892f439242e8961a7429047515bf35308d363616965be8c869fa,12,43,44665
5f357ec8bb3e982952d13c62ee44bc5a8a37b9b30553ad510e6b0602ec241621,13,43,43435
6e853d0f2d6c6d244667333332981a7ad4122109b040ed58b65c82c79104ba64,10,44,43261
e683996b8d526727978a3d167a3cab9bc81714e0481ba1ebf683f8659c04d1ac,13,31,42844
837eb345b7b7bafcea07a199ba68651736cca9cd3f6a4e1b533b9ce1dfa318b5,13,60,42652
2e45bc63d286960a52ba052bfd4bba379ed57e880d75ef8645cc99ef6fb34fdb,11,42,42600
640a5830393ede19001389d4f2929a94f04df29d930a07b541d0d748c91d06f6,9,45,41961
b6171910c51deeb6bbe0ec176e98524b79961ba91a2ffe7ad6aca6810c687b37,10,57,41382
864ae65c256f0e9d7aca606c023545e1e5ba786a23f399413d6898374282fe15,14,49,41141
0e09dddff0f8b8e9e9fd1600872b601aa300986091921019c8430b501dfdfc53,12,56,40518
26a9690a0a8789abf90614e0342b1ff26f35369d73232047ac9c5ffe612e8fa1,14,44,40303
f5652d4f1cf2b73c7c5aeb1d390c204c6fffe01c431156008e258ff3bdd37fb0,14,47,39843
9a07e8f65bbebcc1c3a5f8bef052520b7747a9baa5c4d24510fe04cfa7d633b4,13,51,39560
0d82b032c350d85540a2aa3878a04c8a85a4adc4b2841fd29fe89e376b51410e,11,51,39290
3fe4d23056d4209a918a0136e7f3f18b06c83eb1f01334d57965f8e91b2bce8a,17,48,39088
1bba5a04ec805b5c6597228968531bcda77e561be7e4e56522aef41d28fc0f5d,10,47,38732
1826426fb84fc847009bb0d758a312f858f7bcfd6afa1f65b4966bc761182d67,8,53,38515
04d66cb2a70fda1b698b70299a8cc3556f8d3adbaabaf70d06fec92f90ec0b3d,11,58,38425
fc87a4e86904af17f3264a3e093fea183225b219d371e3ef03b814898b3f53f3,14,47,38070
e4d40ed54791d8d19535ec17ae959c06d896483a81915cbef2b53e7812909bdf,14,44,37928
05bcc078b9ac7bd2fd4591198343271e644f9567ecfcf9146332e18de6be8c33,13,49,37282
3329d3ce05aabf86ad2e81808fdc2275ce6b7f45700d7af26cdfcc1842a3577d,11,55,37280
c53336de5d7757b6175300b3e130393377cb1629a9c1653b873281e722e91dd8,10,50,37252
216366e2ed6abb57f7c44bfd72aa9d5cecebf2c1165193def4e3c05354ec07c4,9,42,37155
90abefae10d9e8b0897e8e03be1a69e766d3493f69d429c61305168083341605,9,38,36865
27300400f549ad8700a653b030b819a39a54f425286fad8e911dd051e2dc259c,11,41,36776
b96fadffb0c958c131493c73ceb9ba4678e01856954902d0f9eb05911f5ea2ac,11,53,36665
6ce999f85221f68d474a94de8a226153cedcf9d306c7e0f8e168975bfe644c61,11,18,36371
69004897648aaa57deef06c61255575d5388986a890c30fa16554d623e9931f5,7,31,36320
53f4ba0e8bd47d3a44e8e634fc6fe471eed393679b59fa8e025f913095b8bc3d,7,47,36199
42d334e0ae8e4d6a5032cf769802d6b030e3948e1f609a57c7b7fb30ab9731da,10,16,35492
fd0bc6dc958d6de8c46f4ed751bd84456dd19dd0dee58dfcc3d0ce07151e91cd,8,48,35378
2292bde99931f9aee926575d9cf744e60269c0ac83b7754fceb239509f9a2462,9,50,35203
8f0eddb803ba18e0250f31d78ec0bc8c498c964a97f25789c7389d04b3cba1db,14,41,34972
c02345180758c0cdb8d6b615db33923d611d3062c86464a06d773436c81ed5e7,9,45,34804
8b8232f4a1703ec8fd32be0638a3506db200a2da216480088d9dfe24dea2458f,9,45,34671
4fbd88d5e2e580f6f90274e96be37d0bf66951fedcba9291f9717bca00addfe6,4,34,34440
06b43d1705d011e09f9d2ccd7d5cd73e53f68402b33d521d75710959587178be,8,46,34153
aacf2248b5af896d078b26be653c341c8128fa001dc1b01d11b1157847fb6b0a,5,45,34083
d150e0e78f0bf8c6404642fed4d691d4d385a850f269396311763031914b2627,13,29,33686
4d128c1a1bde498ab8938cc0dc2ca364ff9328c2982b1cf43b27841aa2f657f5,4,39,33655
69cd9d60d50df2b436ec0f5c279a54f373813d8e58a40e5a7dcb2964f9b818bc,14,48,33556
0e6bbf778e89b728a80eb46a140316dabaf399b786a75013a2b29252465e5915,7,44,33318
cb43415ca3bb1a1adbf6f2ac4f623f1c83af75244cdd4e0ef7f9ac1e3b9d907f,12,56,33044
d6cd8fba381e862a81a2900349ecf54a58d52eabc07f97fa638be014f1cc3bd8,12,43,32943
0611b506ad794f761b68ad9a7d5eb203385ef840e04cb8f2bef1c4f5a5fd8e79,14,53,32404
b710e93f4d71f91ec51fcbe668bd555a926d7dd48945ba3f95c63511ca0af492,7,59,32282
77cd82a44d264edab499afbb7a113e94cab63c02c228b95016647c2c8e97fdfb,13,50,32010
64cc1378e648222391ed6ab6e5760bdb4ea0a3ada24c0fa4c878b7171efa3c04,12,49,31846
ef45b08ed74ad3d35788bc951496dfffaf6622f4e478ae5470e0f634b70926cd,16,51,31708
b27d4847b204d206ea5d8b538becacfe2cfcfe3ca5305c0a7b7d602ce6f9c5cd,10,44,31578
a9b2afeaae134699104988b1155d170ce62b5658e471caf2138f7d987f9f5703,12,53,31522
49bba2866d2fb4ab24f15d70ec280c3e4c4d190187ddeaed073f095f830d1fe1,10,43,31418
d75c85c1bc6186bb3264e021a8559b5dc6e86eb9e35d9b136bff1e7e5232fff0,16,47,31281
27f07895f017f8cd09a759d74a49b9170781ddcb0ddceb978f1715f6ef2de414,15,48,31122
43aab67ce029675c87f42bcc70ad6d0fa9efce1d0a4402734ff5e58be1943a26,13,52,30665
db60db96a642accc610b81196ab65be0dcd38b1ea786f034e491fce9f6ea0fd5,7,47,30387
eb6c116b87219fcebdf83aa0760cbb9bb63133520e4b431baa84fee1a40eb27e,14,43,30214
